index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2261,1269_reorientation_8.mtx,3108,3108,37894,0.000,0.005,14.300
2262,1866_bcsstk25.mtx,15439,15439,252241,0.000,0.007,75.116
2263,2372_gas_sensor.mtx,66917,66917,1703365,0.000,0.033,103.084
2264,2705_af_shell5.mtx,504855,504855,17588875,0.000,0.212,166.095
2265,0945_delaunay_n11.mtx,2048,2048,12254,0.000,0.004,5.904
2266,1137_ex25.mtx,848,848,24612,0.000,0.005,9.644
2267,1461_rosen10.mtx,2056,6152,64192,0.000,0.006,20.395
2268,0239_rdb200.mtx,200,200,1120,0.000,0.004,0.579
2269,0890_adder_dcop_54.mtx,1813,1813,11246,0.000,0.006,4.034
2270,1397_ca-HepTh.mtx,9877,9877,51971,0.000,0.013,7.946
2271,0602_Roget.mtx,1022,1022,5075,0.000,0.004,2.543
2272,1941_Franz11.mtx,47104,30144,329728,0.000,0.008,85.058
2273,0567_lp_tuff.mtx,333,628,4561,0.000,0.005,1.666
2274,0684_fpga_dcop_20.mtx,1220,1220,5892,0.000,0.005,2.526
2275,1581_bayer10.mtx,13436,13436,94926,0.000,0.005,35.841
2276,0554_fs_541_1.mtx,541,541,4285,0.000,0.004,2.295
2277,0405_ch7-8-b1.mtx,1176,56,2352,0.000,0.004,1.311
2278,0383_olm500.mtx,500,500,1996,0.000,0.003,1.161
2279,0129_lp_sc105.mtx,105,163,340,0.000,0.004,0.176
2280,2700_af_shell7.mtx,504855,504855,17588875,0.000,0.210,167.184
2281,2729_12month1.mtx,12471,872622,22624727,0.000,2.505,18.061
2282,2499_nd3k.mtx,9000,9000,3279690,0.000,0.021,313.831
2283,0839_dwg961b.mtx,961,961,10591,0.000,0.005,4.639
